		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
01/07/20	1:10	7.4	7.4	7.4	87	5.4	3.2	SW	0.27	9.7	SW	7.4	7.4	7.4	5.9	1014.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.8	48	5.7	15.6	0.00	113	1	99.1	5
01/07/20	1:15	7.3	7.4	7.3	87	5.3	4.8	SW	0.40	16.1	SW	6.8	7.3	6.8	5.3	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.8	48	5.7	15.6	0.00	114	1	100.0	5
01/07/20	1:20	7.3	7.3	7.3	87	5.3	4.8	SW	0.40	11.3	SW	6.8	7.3	6.8	5.3	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.7	48	5.6	15.5	0.00	114	1	100.0	5
01/07/20	1:25	7.3	7.3	7.3	88	5.5	3.2	WSW	0.27	16.1	SSW	7.3	7.3	7.3	5.8	1014.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.7	48	5.6	15.5	0.00	114	1	100.0	5
01/07/20	1:30	7.3	7.3	7.3	88	5.5	3.2	WSW	0.27	11.3	SSW	7.3	7.3	7.3	5.8	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.7	48	5.6	15.5	0.00	115	1	100.0	5
01/07/20	1:35	7.3	7.3	7.3	88	5.4	4.8	WSW	0.40	16.1	SW	6.7	7.3	6.7	5.2	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.7	48	5.6	15.5	0.00	115	1	100.0	5
01/07/20	1:40	7.3	7.3	7.3	88	5.4	4.8	WSW	0.40	14.5	WSW	6.7	7.3	6.7	5.2	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.7	48	5.6	15.5	0.00	115	1	100.0	5
01/07/20	1:45	7.3	7.3	7.3	88	5.4	4.8	WSW	0.40	14.5	SW	6.7	7.3	6.7	5.2	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.7	48	5.6	15.5	0.00	115	1	100.0	5
01/07/20	1:50	7.3	7.3	7.3	88	5.4	4.8	WSW	0.40	14.5	WSW	6.7	7.3	6.7	5.2	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.038	0.000	16.7	48	5.6	15.5	0.00	114	1	100.0	5
01/07/20	1:55	7.2	7.3	7.2	88	5.3	4.8	WSW	0.40	14.5	WSW	6.6	7.2	6.6	5.1	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	16.7	47	5.3	15.5	0.00	115	1	100.0	5
01/07/20	2:00	7.1	7.2	7.1	88	5.3	6.4	WSW	0.54	16.1	WSW	6.1	7.1	6.1	4.6	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	16.7	47	5.3	15.5	0.00	114	1	100.0	5
01/07/20	2:05	7.0	7.1	7.0	88	5.1	6.4	WSW	0.54	17.7	SW	5.9	7.0	5.9	4.4	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	16.7	47	5.3	15.5	0.00	114	1	100.0	5
01/07/20	2:10	7.0	7.0	7.0	88	5.1	4.8	WSW	0.40	11.3	SSW	6.4	7.0	6.4	4.9	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.039	0.000	16.6	47	5.2	15.4	0.00	115	1	100.0	5
01/07/20	2:15	6.9	7.0	6.9	89	5.3	4.8	WSW	0.40	11.3	WSW	6.4	7.0	6.4	4.9	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	16.6	47	5.2	15.4	0.00	114	1	100.0	5
01/07/20	2:20	6.9	6.9	6.9	88	5.1	3.2	W	0.27	11.3	W	6.9	6.9	6.9	5.4	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	16.6	47	5.2	15.4	0.00	114	1	100.0	5
01/07/20	2:25	6.8	6.9	6.8	88	5.0	3.2	W	0.27	16.1	WSW	6.8	6.8	6.8	5.3	1015.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	16.6	47	5.2	15.4	0.00	115	1	100.0	5
01/07/20	2:30	6.8	6.8	6.8	88	5.0	1.6	WSW	0.13	14.5	SW	6.8	6.8	6.8	5.3	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	16.6	47	5.2	15.4	0.00	114	1	100.0	5
01/07/20	2:35	6.8	6.8	6.8	88	4.9	1.6	WSW	0.13	8.0	SW	6.8	6.8	6.8	5.2	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	16.6	47	5.2	15.4	0.00	113	1	99.1	5
01/07/20	2:40	6.7	6.8	6.7	89	5.0	3.2	SW	0.27	11.3	SW	6.7	6.8	6.8	5.3	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	16.6	47	5.2	15.4	0.00	114	1	100.0	5
01/07/20	2:45	6.7	6.7	6.7	89	5.0	3.2	WSW	0.27	9.7	WSW	6.7	6.8	6.8	5.3	1015.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.040	0.000	16.6	47	5.2	15.4	0.00	115	1	100.0	5
01/07/20	2:50	6.6	6.7	6.6	89	4.9	3.2	WSW	0.27	11.3	WSW	6.6	6.7	6.7	5.1	1015.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	16.6	47	5.2	15.4	0.00	115	1	100.0	5
01/07/20	2:55	6.6	6.6	6.6	89	4.9	3.2	W	0.27	11.3	WSW	6.6	6.7	6.7	5.1	1015.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	16.6	47	5.2	15.4	0.00	115	1	100.0	5
01/07/20	3:00	6.6	6.6	6.6	89	4.9	0.0	SW	0.00	8.0	SW	6.6	6.7	6.7	5.1	1015.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	16.6	47	5.2	15.4	0.00	115	1	100.0	5
01/07/20	3:05	6.6	6.6	6.6	89	4.9	3.2	SW	0.27	11.3	WSW	6.6	6.6	6.6	5.0	1015.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	16.5	47	5.1	15.3	0.00	115	1	100.0	5
01/07/20	3:10	6.6	6.6	6.6	89	4.9	1.6	SW	0.13	9.7	WSW	6.6	6.6	6.6	5.0	1015.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	16.5	47	5.1	15.3	0.00	114	1	100.0	5
01/07/20	3:15	6.4	6.4	6.4	89	4.8	3.2	WSW	0.27	16.1	WSW	6.4	6.4	6.4	4.9	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	16.5	47	5.1	15.3	0.00	115	1	100.0	5
01/07/20	3:20	6.4	6.4	6.4	89	4.7	4.8	WSW	0.40	16.1	SSW	5.7	6.4	5.7	4.2	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	16.5	47	5.1	15.3	0.00	115	1	100.0	5
01/07/20	3:25	6.4	6.4	6.4	89	4.7	1.6	WSW	0.13	8.0	WSW	6.4	6.4	6.4	4.8	1015.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.041	0.000	16.5	47	5.1	15.3	0.00	112	1	98.2	5
01/07/20	3:30	6.3	6.4	6.3	89	4.6	3.2	WSW	0.27	14.5	WSW	6.3	6.3	6.3	4.7	1015.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	16.5	47	5.1	15.3	0.00	113	1	99.1	5
01/07/20	3:35	6.3	6.3	6.3	89	4.6	3.2	WSW	0.27	11.3	WSW	6.3	6.3	6.3	4.7	1015.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	16.5	47	5.1	15.3	0.00	114	1	100.0	5
01/07/20	3:40	6.3	6.3	6.3	89	4.6	1.6	SW	0.13	9.7	SW	6.3	6.3	6.3	4.7	1015.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	16.5	47	5.1	15.3	0.00	115	1	100.0	5
01/07/20	3:45	6.2	6.3	6.2	89	4.5	1.6	SW	0.13	9.7	SW	6.2	6.2	6.2	4.7	1015.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	16.4	47	5.0	15.2	0.00	114	1	100.0	5
01/07/20	3:50	6.2	6.2	6.2	89	4.5	1.6	SW	0.13	11.3	SW	6.2	6.2	6.2	4.7	1015.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	16.4	47	5.0	15.2	0.00	114	1	100.0	5
01/07/20	3:55	6.2	6.2	6.2	89	4.5	1.6	SW	0.13	8.0	SW	6.2	6.2	6.2	4.6	1015.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	16.4	47	5.0	15.2	0.00	116	1	100.0	5
01/07/20	4:00	6.2	6.2	6.2	89	4.5	3.2	SW	0.27	9.7	SW	6.2	6.2	6.2	4.6	1016.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.042	0.000	16.4	47	5.0	15.2	0.00	114	1	100.0	5
01/07/20	4:05	6.1	6.2	6.1	89	4.4	1.6	SW	0.13	11.3	SW	6.1	6.1	6.1	4.5	1016.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.4	47	5.0	15.2	0.00	115	1	100.0	5
01/07/20	4:10	6.0	6.1	6.0	89	4.3	1.6	SW	0.13	6.4	SW	6.0	6.0	6.0	4.4	1016.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.4	47	5.0	15.2	0.00	115	1	100.0	5
01/07/20	4:15	5.9	6.0	5.9	89	4.2	3.2	SW	0.27	9.7	SW	5.9	5.9	5.9	4.3	1015.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.4	47	5.0	15.2	0.00	113	1	99.1	5
01/07/20	4:20	5.9	5.9	5.9	89	4.2	1.6	SW	0.13	6.4	SW	5.9	5.9	5.9	4.3	1015.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.4	47	5.0	15.2	0.00	115	1	100.0	5
01/07/20	4:25	5.8	5.9	5.8	89	4.2	1.6	SW	0.13	8.0	SW	5.8	5.8	5.8	4.3	1015.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.3	47	5.0	15.1	0.00	115	1	100.0	5
01/07/20	4:30	5.8	5.8	5.8	89	4.2	1.6	SW	0.13	6.4	SW	5.8	5.8	5.8	4.3	1016.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.3	47	5.0	15.1	0.00	114	1	100.0	5
01/07/20	4:35	5.7	5.8	5.7	89	4.0	0.0	SW	0.00	1.6	SW	5.7	5.7	5.7	4.2	1016.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.3	47	5.0	15.1	0.00	114	1	100.0	5
01/07/20	4:40	5.7	5.7	5.7	89	4.0	1.6	SW	0.13	8.0	SW	5.7	5.7	5.7	4.1	1016.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.3	47	5.0	15.1	0.00	115	1	100.0	5
01/07/20	4:45	5.7	5.7	5.7	89	4.0	1.6	SW	0.13	6.4	SW	5.7	5.7	5.7	4.1	1016.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.3	47	5.0	15.1	0.00	113	1	99.1	5
01/07/20	4:50	5.6	5.7	5.6	90	4.1	3.2	SW	0.27	8.0	SW	5.6	5.6	5.6	4.1	1016.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.3	47	5.0	15.1	0.00	114	1	100.0	5
01/07/20	4:55	5.6	5.6	5.6	90	4.1	1.6	SW	0.13	11.3	SW	5.6	5.6	5.6	4.1	1016.1	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.3	47	5.0	15.1	0.00	113	1	99.1	5
01/07/20	5:00	5.6	5.6	5.6	90	4.1	1.6	SW	0.13	6.4	SW	5.6	5.6	5.6	4.1	1016.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.3	47	5.0	15.1	0.00	115	1	100.0	5
01/07/20	5:05	5.6	5.6	5.6	90	4.1	1.6	SSW	0.13	14.5	SSW	5.6	5.6	5.6	4.1	1016.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.2	47	4.9	15.0	0.00	114	1	100.0	5
01/07/20	5:10	5.7	5.7	5.6	90	4.2	3.2	SSW	0.27	11.3	S	5.7	5.7	5.7	4.1	1016.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.2	47	4.9	15.0	0.00	115	1	100.0	5
01/07/20	5:15	5.7	5.7	5.7	90	4.2	4.8	SSW	0.40	19.3	SSW	4.9	5.7	4.9	3.3	1016.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.2	47	4.9	15.0	0.00	114	1	100.0	5
01/07/20	5:20	5.7	5.7	5.7	90	4.2	3.2	SSW	0.27	9.7	SSW	5.7	5.7	5.7	4.2	1016.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.2	47	4.9	15.0	0.00	115	1	100.0	5
01/07/20	5:25	5.7	5.7	5.7	90	4.2	3.2	SSW	0.27	16.1	SSW	5.7	5.7	5.7	4.2	1016.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.2	47	4.9	15.0	0.00	114	1	100.0	5
01/07/20	5:30	5.8	5.8	5.7	90	4.3	3.2	SSW	0.27	16.1	SSW	5.8	5.8	5.8	4.3	1016.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.2	47	4.9	15.0	0.00	112	1	98.2	5
01/07/20	5:35	5.8	5.8	5.7	90	4.3	3.2	SSW	0.27	9.7	SSW	5.8	5.8	5.8	4.3	1016.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.2	47	4.8	14.9	0.00	115	1	100.0	5
01/07/20	5:40	5.7	5.8	5.7	90	4.2	3.2	SSW	0.27	9.7	SSW	5.7	5.7	5.7	4.2	1016.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.2	47	4.8	14.9	0.00	112	1	98.2	5
01/07/20	5:45	5.8	5.8	5.7	90	4.3	4.8	SSW	0.40	16.1	SSW	5.1	5.8	5.1	3.6	1016.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.2	47	4.8	14.9	0.00	113	1	99.1	5
01/07/20	5:50	5.8	5.8	5.7	90	4.3	4.8	SSW	0.40	16.1	SSE	5.1	5.8	5.1	3.6	1016.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.2	47	4.8	14.9	0.00	115	1	100.0	5
01/07/20	5:55	5.8	5.8	5.8	90	4.3	1.6	S	0.13	16.1	SSW	5.8	5.8	5.8	4.3	1016.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.2	47	4.8	14.9	0.00	114	1	100.0	5
01/07/20	6:00	5.8	5.8	5.8	90	4.3	1.6	SSW	0.13	8.0	SSW	5.8	5.8	5.8	4.3	1016.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.2	47	4.8	14.9	0.00	114	1	100.0	5
01/07/20	6:05	5.8	5.8	5.8	90	4.3	0.0	---	0.00	0.0	---	5.8	5.8	5.8	4.3	1016.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.1	47	4.7	14.8	0.00	113	1	99.1	5
01/07/20	6:10	5.8	5.8	5.8	90	4.3	1.6	SSW	0.13	6.4	SSW	5.8	5.8	5.8	4.3	1016.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.1	47	4.7	14.8	0.00	115	1	100.0	5
01/07/20	6:15	5.8	5.8	5.8	90	4.3	0.0	SSW	0.00	3.2	SSW	5.8	5.8	5.8	4.3	1016.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.1	47	4.7	14.8	0.00	114	1	100.0	5
01/07/20	6:20	5.8	5.8	5.8	90	4.3	1.6	SSW	0.13	6.4	S	5.8	5.8	5.8	4.3	1016.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.1	47	4.7	14.8	0.00	114	1	100.0	5
01/07/20	6:25	5.8	5.8	5.8	90	4.3	1.6	SSW	0.13	6.4	SSW	5.8	5.8	5.8	4.3	1016.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.043	0.000	16.1	47	4.7	14.8	0.00	114	1	100.0	5
01/07/20	6:30	5.7	5.8	5.7	89	4.0	3.2	SSW	0.27	8.0	SSW	5.7	5.7	5.7	4.2	1016.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.1	47	4.7	14.8	0.00	113	1	99.1	5
01/07/20	6:35	5.7	5.7	5.7	89	4.0	1.6	SSW	0.13	9.7	SSW	5.7	5.7	5.7	4.2	1016.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.1	47	4.7	14.8	0.00	113	1	99.1	5
01/07/20	6:40	5.7	5.7	5.7	89	4.0	4.8	SSW	0.40	17.7	SSW	4.9	5.7	4.9	3.3	1016.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.1	47	4.7	14.8	0.00	112	1	98.2	5
01/07/20	6:45	5.7	5.7	5.7	90	4.2	0.0	SSW	0.00	3.2	SSW	5.7	5.7	5.7	4.1	1016.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.0	47	4.7	14.8	0.00	113	1	99.1	5
01/07/20	6:50	5.7	5.7	5.7	89	4.0	0.0	SSW	0.00	1.6	SSW	5.7	5.7	5.7	4.1	1016.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.0	47	4.7	14.8	0.00	113	1	99.1	5
01/07/20	6:55	5.7	5.7	5.7	89	4.0	3.2	S	0.27	8.0	S	5.7	5.7	5.7	4.1	1016.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.0	47	4.7	14.8	0.00	112	1	98.2	5
01/07/20	7:00	5.7	5.7	5.7	89	4.0	1.6	SSW	0.13	8.0	SSW	5.7	5.7	5.7	4.1	1016.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.0	47	4.7	14.8	0.00	111	1	97.4	5
01/07/20	7:05	5.7	5.7	5.7	89	4.0	1.6	S	0.13	6.4	S	5.7	5.7	5.7	4.2	1016.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.0	47	4.7	14.8	0.00	113	1	99.1	5
01/07/20	7:10	5.7	5.7	5.7	89	4.0	1.6	S	0.13	8.0	S	5.7	5.7	5.7	4.2	1016.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.0	47	4.7	14.8	0.00	113	1	99.1	5
01/07/20	7:15	5.7	5.7	5.7	89	4.0	4.8	S	0.40	8.0	SSW	5.0	5.7	5.0	3.4	1016.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.0	47	4.7	14.8	0.00	114	1	100.0	5
01/07/20	7:20	5.7	5.7	5.7	89	4.0	3.2	S	0.27	8.0	S	5.7	5.7	5.7	4.2	1016.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	16.0	47	4.7	14.8	0.00	112	1	98.2	5
01/07/20	7:25	5.7	5.7	5.7	89	4.0	1.6	SSW	0.13	6.4	SSW	5.7	5.7	5.7	4.2	1016.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	15.9	47	4.6	14.7	0.00	113	1	99.1	5
01/07/20	7:30	5.7	5.7	5.7	89	4.0	3.2	SSW	0.27	6.4	SSW	5.7	5.7	5.7	4.2	1016.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	15.9	47	4.6	14.7	0.00	114	1	100.0	5
01/07/20	7:35	5.7	5.7	5.7	89	4.0	0.0	SSW	0.00	4.8	SSW	5.7	5.7	5.7	4.2	1016.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	15.9	47	4.6	14.7	0.00	113	1	99.1	5
01/07/20	7:40	5.7	5.7	5.7	89	4.0	0.0	---	0.00	0.0	---	5.7	5.7	5.7	4.1	1016.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.044	0.000	15.9	47	4.6	14.7	0.00	112	1	98.2	5
01/07/20	7:45	5.6	5.7	5.6	89	3.9	0.0	---	0.00	0.0	---	5.6	5.6	5.6	4.1	1016.7	0.00	0.0	4	0.03	5	0.0	0.00	0.0	0.044	0.000	15.9	47	4.6	14.7	0.00	112	1	98.2	5
01/07/20	7:50	5.5	5.6	5.5	89	3.8	0.0	---	0.00	0.0	---	5.5	5.5	5.5	4.0	1016.7	0.00	0.0	7	0.05	7	0.0	0.00	0.0	0.045	0.000	15.9	47	4.6	14.7	0.00	113	1	99.1	5
01/07/20	7:55	5.4	5.5	5.4	89	3.8	0.0	---	0.00	0.0	---	5.4	5.4	5.4	3.9	1016.7	0.00	0.0	9	0.06	11	0.0	0.00	0.0	0.045	0.000	15.9	47	4.6	14.7	0.00	113	1	99.1	5
01/07/20	8:00	5.3	5.4	5.3	89	3.7	0.0	---	0.00	0.0	---	5.3	5.3	5.3	3.9	1016.9	0.00	0.0	14	0.10	16	0.0	0.00	0.0	0.045	0.000	15.9	47	4.6	14.7	0.00	114	1	100.0	5
01/07/20	8:05	5.3	5.3	5.3	89	3.6	0.0	---	0.00	0.0	---	5.3	5.2	5.2	3.9	1016.9	0.00	0.0	19	0.14	21	0.0	0.00	0.0	0.045	0.000	15.8	47	4.5	14.6	0.00	113	1	99.1	5
01/07/20	8:10	5.2	5.3	5.2	89	3.5	0.0	---	0.00	0.0	---	5.2	5.1	5.1	3.9	1016.9	0.00	0.0	26	0.19	30	0.0	0.00	0.0	0.046	0.000	15.8	47	4.5	14.6	0.00	113	1	99.1	5
01/07/20	8:15	5.2	5.2	5.2	89	3.5	0.0	SW	0.00	4.8	SSW	5.2	5.1	5.1	4.1	1016.9	0.00	0.0	37	0.27	47	0.0	0.00	0.0	0.046	0.000	15.8	47	4.5	14.6	0.00	114	1	100.0	5
01/07/20	8:20	5.2	5.2	5.2	89	3.5	0.0	SW	0.00	4.8	SW	5.2	5.1	5.1	4.1	1016.9	0.00	0.0	41	0.29	44	0.0	0.00	0.0	0.046	0.000	15.8	47	4.5	14.6	0.00	116	1	100.0	5
01/07/20	8:25	5.1	5.2	5.1	89	3.4	0.0	---	0.00	0.0	---	5.1	5.1	5.1	4.0	1016.9	0.00	0.0	40	0.29	42	0.0	0.00	0.0	0.046	0.000	15.8	47	4.5	14.6	0.00	115	1	100.0	5
01/07/20	8:30	5.1	5.1	5.1	89	3.4	0.0	---	0.00	0.0	---	5.1	5.1	5.1	4.1	1017.4	0.00	0.0	44	0.32	46	0.0	0.00	0.0	0.046	0.000	15.8	47	4.5	14.6	0.00	114	1	100.0	5
01/07/20	8:35	5.1	5.1	5.1	89	3.4	0.0	SW	0.00	1.6	SW	5.1	5.1	5.1	4.1	1017.4	0.00	0.0	46	0.33	47	0.0	0.00	0.0	0.046	0.000	15.8	47	4.5	14.6	0.00	115	1	100.0	5
